centre_code,centre_name,license_issue_date,license_tenure
PT9622,3HOUSE KINDERGARTEN (TAMPINES),2024-03-02,36
RC1742,7oaks Preschool - Bedok Reservoir,2023-11-11,36
RC1733,7oaks Preschool - International Business Park,2024-03-15,36
RC1750,7oaks Preschool - Jurong St. 81,2024-07-01,36
RC1784,7oaks Preschool - Jurong St. 91,2025-11-16,12
RC1912,7oaks Preschool - Kallang,2024-07-31,24
RC1180,7oaks Preschool - Pasir Ris St. 11,2024-07-02,36
RC0750,7oaks Preschool - Pasir Ris St. 51,2026-02-01,24
RC1510,7oaks Preschool - Sembawang,2024-01-21,36
RC1913,7oaks Preschool - Tampines,2024-08-31,24
PT8720,A2E Kids,2025-12-27,12
PT8399,AAYTOZEE @ HILLVIEW PTE LTD,2025-12-01,24
PT9406,AAYTOZEE LEARNING COVE PTE LTD,2025-11-22,36
PT8900,ACADEMY KIDZ INC PTE. LTD.,2025-02-12,24
PT5210,ACE @ WORK CHILDCARE PTE LTD,2025-04-01,36
PT9953,Ace @ Work Childcare Pte Ltd (ATPCC),2026-05-28,12
PT9939,Ace @ Work Childcare Pte Ltd (BPCC),2025-11-20,12
PT5550,Ace @ Work Childcare Pte Ltd (CCK 757),2024-07-01,36
PT9937,Ace @ Work Childcare Pte Ltd (SKG),2025-10-29,12
PT9909,Ace @ Work Childcare Pte Ltd (TMP939),2025-08-20,24
PT4510,ACE @ WORK EDUCARE PTE LTD,2025-10-01,36
PT8818,ACE@WORK CHILDCARE PTE LTD,2026-01-04,36
PT9488,ACES CHAMPION ENTERPRISE (SINGAPORE) LLP,2023-10-01,36
PT9218,ACTIVE LEARNERS CHILD CARE PRIVATE LIMITED,2024-01-01,36
PT9780,Adventure Tree Preschool @ Katong,2026-01-27,36
PT9799,Adventure Tree Preschool Braddell,2026-06-25,36
PT0860,Adventure Tree Preschool Bukit Timah Pte Ltd,2025-04-28,36
PT9866,Adventure Tree Preschool Holland,2026-07-04,36
PT8691,AGAPE LITTLE UNI CECIL,2025-08-27,36
PT3050,Agape Little Uni Choa Chu Kang,2025-02-03,36
PT8794,AGAPE LITTLE UNI CLEMENTI,2024-10-03,36
PT8405,AGAPE LITTLE UNI COMMONWEALTH,2025-04-17,36
PT9337,AGAPE LITTLE UNI COMPASSVALE,2025-02-01,36
PT9514,AGAPE LITTLE UNI GAMBAS (NORDCOM II),2023-12-26,36
PT6080,Agape Little Uni Jurong West,2024-05-02,36
PT8553,Agape Little Uni Kallang,2025-10-03,36
PT5900,AGAPE LITTLE UNI SENGKANG,2024-02-01,36
PT8735,Agape Little Uni Thomson,2025-03-07,36
PT9392,Agape Little Uni Upper Serangoon,2026-05-01,36
PT9869,Agora-Colearning Spaces Pte. Ltd.,2025-07-20,24
RC1810,Al Iman Mosque Kindergarten,2023-10-18,36
RC1817,AL-ANSAR MOSQUE KINDERGARTEN,2023-09-11,36
RC1809,Al-Istighfar Mosque Kindergarten,2023-08-05,36
RC1819,AL-ISTIQAMAH MOSQUE KINDERGARTEN,2023-09-11,36
RC1812,Al-Khair Mosque Kindergarten,2024-08-30,36
RC1801,Al-Mukminin Mosque Kindergarten,2024-11-13,36
RC1813,AL-MUTTAQIN MOSQUE KINDERGARTEN,2023-08-05,36
PT9725,AL-NASRY CHILDCARE PTE. LTD.,2025-01-01,36
PT9712,AL-NASRY PRESCHOOL,2025-04-11,24
PT9610,AL-NASRY@SENGKANG SOUTH KINDERGARTEN,2023-10-29,36
PT9373,ALORA CHILDCARE (LENG KEE) PTE LTD,2025-06-26,36
PT9800,Alora Infant Care (Leng Kee) Pte Ltd,2026-07-09,36
PT9806,Alpha Green Preschool Pte. Ltd,2024-08-23,24
PT9201,Amazing Star Montessori - Yishun,2025-05-02,24
PT8874,AMAZING STAR MONTESSORI HOUSE (CCK),2023-10-01,36
PT7490,AMAZING STAR MONTESSORI HOUSE (GREENRIDGE),2025-05-06,36
PT7870,AMAZING STAR MONTESSORI HOUSE (SN),2024-11-29,36
PT9943,Amber- School of the Future,2026-02-09,12
PT9863,Ang Mo Kio Methodist Preschool,2026-03-13,24
PT5560,ANGEL CARE CENTRE PTE LTD,2025-01-02,36
RC1814,An-Nur Mosque Kindergarten,2023-09-11,36
PT9544,APPLE TREE PLAYHOUSE PTE LTD,2024-04-23,36
PT7470,Appleland Montessori Child Care Centre Pte Ltd,2025-05-03,24
PT4530,Appleland Playhouse Pte Ltd,2025-04-07,36
PT8817,APRICOT ACADEMY (LAGUNA) PTE. LTD.,2025-01-02,36
PT8659,Apricus Kids Academy Pte Ltd,2025-06-16,36
RC1892,Arise Preschool,2023-11-20,36
RC1805,Ar-Raudhah Mosque Kindergarten,2024-03-31,36
PT9931,Artemis Preskool @ Boon Keng,2025-08-13,12
PT9908,Artemis Preskool @ Bukit Panjang,2025-09-01,24
PT9782,ARTEMIS PRESKOOL @ TAMPINES,2026-02-18,36
PT9951,ARTEMIS PRESKOOL @ TAMPINES WEST,2026-05-08,12
PT9904,ARTEMIS PRESKOOL @ WEST COAST,2025-07-08,24
PT9903,ARTEMIS PRESKOOL @ WISTERIA MALL,2025-06-09,24
PT9761,ARTEMIS PRESKOOL @ WOODLEIGH,2025-11-01,36
PT9925,ARTEMIS PRESKOOL @ WOODLEIGH VILLAGE,2026-05-02,24
PT8852,ARTS JUNIOR MONTESSORI LLP,2025-09-19,12
RC1808,Assyakirin Mosque Kindergarten,2023-10-31,36
PT9652,Astor International Preschool,2024-09-27,36
RC1776,AWWA LTD.,2024-12-15,36
PT9484,Baby Elk Infant Care Pte Ltd,2026-02-28,12
PT8359,BAMBINI CHILDCARE LLP,2024-05-01,36
RC1908,Barker Road Methodist Church Little Lights Preschool -  Vanda,2025-01-18,24
RC1829,BARKER ROAD METHODIST CHURCH LITTLE LIGHTS PRESCHOOL - BARKER,2023-10-17,36
PT9777,Bedok Methodist Preschool,2023-09-19,36
PT9628,Bello Bambini Montessori Pte Ltd,2025-01-02,24
RC1765,BETHEL CHILD DEVELOPMENT CENTRE,2026-03-01,36
RC0030,BETHEL DAY CARE CENTRE,2025-12-27,36
RC1757,BETHEL PRESCHOOL,2026-02-01,36
PT9861,Bethesda (Bedok-Tampines) Kindergarten Pte Ltd,2023-11-25,36
RC1849,Bethesda (Pasir Ris) Kindergarten,2023-11-05,36
RC1822,Bethesda Ang Mo Kio Kindergarten,2025-03-28,36
RC1884,BETHESDA CHAPEL KINDERGARTEN,2023-11-06,36
RC1852,Bethesda Kindercare,2025-05-29,24
RC1768,BETHLEHEM EDUCARE CENTRE,2025-06-01,36
RC0960,BETHLEHEM EDUCARE CENTRE (YISHUN),2024-11-16,36
PT8633,BETWEEN TWO TREES PRESCHOOL,2025-01-01,36
PT9744,Big Einstein Academy @ Tampines Pte Ltd,2026-06-24,6
PT1450,BLOSSOM CREATIVE CENTRE LLP,2024-12-01,36
PT8828,BLOSSOM DISCOVERY CENTRE LLP,2025-03-15,36
PT3190,BLOSSOM EDUCARE CENTRE LLP,2025-04-01,36
PT9139,Blossom Genesis Centre Pte Ltd,2026-05-01,36
PT1200,BLUE HOUSE (MUTIARA),2024-09-20,24
PT9460,Blue House Childcare,2026-06-01,12
PT2600,Blue House Childcare (Kay Siang) Pte Ltd,2024-04-15,36
RC1899,Blue Lion Preschool,2025-10-29,36
PT9731,BrainFit School House Pte Ltd,2024-03-12,36
PT9726,Brainy Bunch Hougang Pte. Ltd.,2025-09-24,24
PT9621,Brainy Bunch Pasir Ris Pte Ltd,2024-03-24,36
PT9399,BRAINY BUNCH WOODLANDS PTE LTD,2025-11-01,36
PT4140,BRIGHT KIDS @ JURONG WEST PTE LTD,2023-12-10,36
PT3000,BRIGHT KIDS @ PASIR RIS PTE LTD,2026-03-23,36
PT7290,BRIGHT KIDS SCHOOL HOUSE PTE LTD,2024-02-25,36
PT7380,BRIGHT KIDS SCHOOL HOUSE PTE LTD,2024-09-26,36
PT7540,BRIGHT KIDS SCHOOL HOUSE PTE LTD,2024-06-15,36
PT8441,BRIGHT LEARNERS PRESCHOOL,2023-09-14,36
PT8969,Bright Sparks Childcare (City Campus) Pte. Ltd.,2026-02-02,12
PT9110,BRIGHT SPARKS CHILDCARE LLP,2026-02-11,36
PT9846,Bright Sparks Infant Care Pte. Ltd,2025-12-01,24
PT9001,Brighton Montessori Ang Mo Kio (Yio Chu Kang Community Club),2025-01-01,36
PT7970,Brighton Montessori Frankel,2024-02-01,36
PT9362,Brighton Montessori Hillview,2025-08-01,36
PT9491,Brighton Montessori Kovan,2024-10-19,24
PT8957,Brighton Montessori Mountbatten,2025-06-15,36
PT9248,Brighton Montessori River Valley,2024-10-01,36
PT8702,Brighton Montessori Sunset Way,2025-10-23,36
PT9395,Brilliant Beans Preschool Macpherson,2023-11-01,36
PT9190,BRILLIANT KIDS LEARNING COVE,2023-10-01,36
PT8953,Brilliant Tots @ Kelulut Pte Ltd,2025-06-01,36
PT9329,BRILLIANT TOTS ACADEMY PTE. LTD.,2026-01-01,36
PT9334,BRILLIANT TOTS PTE. LTD.,2025-08-01,24
PT8660,Bucket House Preschool @ Sims Avenue,2023-10-22,36
PT9527,Bucket House Preschool Education Pte. Ltd.,2024-02-09,36
PT9268,Bucket House Preschool@Bukit Batok,2024-06-09,36
RC1862,Bukit Panjang Methodist Church Kindergarten,2023-10-15,36
PT3150,BUMBLE BEE CHILD CARE CENTRE,2025-01-15,36
RC1870,Calvary Pandan Kindergarten,2024-11-20,36
PT8901,CAMBERLEY INTERNATIONAL PRE-SCHOOL PRIVATE LIMITED,2025-12-20,36
PT9480,CAMBERLEY LOYANG PRE-SCHOOL PRIVATE LIMITED,2023-08-07,36
PT9892,Cambridge @ Holland Pte Ltd,2026-03-18,12
PT9543,CAMBRIDGE @ MACPHERSON PTE LTD,2024-11-01,24
PT9896,Cambridge @ Midwood Pte. Ltd,2025-03-01,24
PT9515,Cambridge @ River Valley Pte. Ltd.,2025-07-01,24
PT8629,CAMBRIDGE @ SERANGOON GARDENS PTE. LTD.,2025-06-15,36
PT8639,CAMBRIDGE CDC @ SENGKANG PTE. LTD.,2025-02-01,36
PT9768,Cambridge@Artra Alexandra Pte Ltd,2025-12-30,36
PT9532,CAMBRIDGE@KINGSFORD WATERBAY PTE LTD,2024-03-15,36
PT9277,CAMELOT INTERNATIONAL INFANT CARE PTE LTD,2026-07-01,36
PT9801,Camelot Learning Centre Pte Ltd,2024-07-27,36
RC1788,CANOSSAVILLE CHILDREN AND COMMUNITY SERVICES,2026-01-02,36
PT8676,CARPE DIEM @ HILLTOP PTE. LTD.,2025-12-29,24
