school_id,school_name,postal_code,selected_candidate_url,domain,schools_sharing_selected_url,scope,identity_status,candidate_urls,normalization_errors
CENTRE:ST0280,PCF Sparkletots Preschool @ Sengkang North Blk 231 (DS),540231,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:ST0344,PCF Sparkletots Preschool @ Admiralty Blk 687B (DS),732687,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:ST0341,PCF Sparkletots Preschool @ Sembawang West Blk 789 (DS),730789,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:ST0340,PCF Sparkletots Preschool @ Sembawang West Blk 730 (CC),730730,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:ST0160,PCF Sparkletots Preschool @ Sembawang West Blk 755 (CC),730755,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:ST0150,PCF Sparkletots Preschool @ Canberra Blk 780D (CC),734780,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:ST0137,PCF SPARKLETOTS PRESCHOOL @ WOODLANDS BLK 604 (CC),730604,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:ST0117,PCF SPARKLETOTS PRESCHOOL @ WOODLANDS BLK 649 (CC),730649,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:ST0040,PCF SPARKLETOTS PRESCHOOL @ WOODLANDS BLK 677 (CC),730677,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:SK0003,Skool4Kidz Preschool,731628,https://skool4kidz.com.sg/,skool4kidz.com.sg,28,shared_operator_page_candidate,not_verified,https://skool4kidz.com.sg/,
CENTRE:SK0001,Skool4Kidz Preschool,734782,https://skool4kidz.com.sg/,skool4kidz.com.sg,28,shared_operator_page_candidate,not_verified,https://skool4kidz.com.sg/,
CENTRE:PT9216,Small Wonder Preschool Woodlands Drive,730769,,,0,unavailable,unavailable,,
CENTRE:PT9148,STAR LEARNERS @ WOODLANDS CIRCLE PTE. LTD.,731764,https://starlearners.com.sg/our-centres/woodlands-circle,starlearners.com.sg,1,school_specific_candidate,not_verified,https://starlearners.com.sg/our-centres/woodlands-circle,
CENTRE:PT9118,Small Wonder Preschool Woodlands Close,737853,https://smallwonderpreschool.com/,smallwonderpreschool.com,9,shared_operator_page_candidate,not_verified,https://smallwonderpreschool.com/,
CENTRE:PT9116,STAR LEARNERS @ WOODLANDS PTE LTD,737853,https://starlearners.com.sg/our-centres/woodlands-11,starlearners.com.sg,1,school_specific_candidate,not_verified,https://starlearners.com.sg/our-centres/woodlands-11,
CENTRE:PT3460,Sunshine Kids Preschool @Woodlands Pte Ltd,730795,https://sunshinekids.com.sg/,sunshinekids.com.sg,1,school_specific_candidate,not_verified,https://sunshinekids.com.sg/,
CENTRE:NT0578,MY FIRST SKOOL,735785,https://www.myfirstskool.com/wdc08-lifesg,www.myfirstskool.com,1,school_specific_candidate,not_verified,https://www.myfirstskool.com/wdc08-lifesg,
CENTRE:NT0559,MY FIRST SKOOL,730678,https://www.myfirstskool.com/wd6-lifesg,www.myfirstskool.com,1,school_specific_candidate,not_verified,https://www.myfirstskool.com/wd6-lifesg,
CENTRE:NT0479,MY FIRST SKOOL,730742,https://www.myfirstskool.com/wd4-lifesg,www.myfirstskool.com,1,school_specific_candidate,not_verified,https://www.myfirstskool.com/wd4-lifesg,
CENTRE:NT0471,MY FIRST SKOOL,733688,https://www.myfirstskool.com/wd3-lifesg,www.myfirstskool.com,1,school_specific_candidate,not_verified,https://www.myfirstskool.com/wd3-lifesg,
CENTRE:ST0265,PCF Sparkletots Preschool @ Tampines Central Blk 725 (DS),520725,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:ST0185,PCF SPARKLETOTS PRESCHOOL @ TAMPINES WEST BLK 887 (CC),520887,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:ST0154,PCF SPARKLETOTS PRESCHOOL @ TAMPINES WEST BLK 890A (CC),521890,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:ST0142,PCF SPARKLETOTS PRESCHOOL @ TAMPINES CENTRAL BLK 858 (CC),520858,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:ST0116,PCF SPARKLETOTS PRESCHOOL @ TAMPINES CENTRAL BLK 867A (CC),521867,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:ST0113,PCF SPARKLETOTS PRESCHOOL @ TAMPINES CENTRAL BLK 713 (CC),520713,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:ST0011,PCF SPARKLETOTS PRESCHOOL @ TAMPINES WEST BLK 942 (EY),520942,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:RC1400,Little Seeds Preschool,520727,https://www.littleseeds.edu.sg/,www.littleseeds.edu.sg,15,shared_operator_page_candidate,not_verified,https://www.littleseeds.edu.sg/,
CENTRE:PT9511,THE LITTLE SKOOL-HOUSE INTERNATIONAL PTE LTD,529757,https://www.littleskoolhouse.com/,www.littleskoolhouse.com,15,shared_operator_page_candidate,not_verified,https://www.littleskoolhouse.com/ | https://www.littleskoolhouse.com/our-centres/at-temasek-polytechnic,
CENTRE:PT8741,NURTURESTARS PTE. LTD.,528882,https://www.nurturestars.sg/,www.nurturestars.sg,4,shared_operator_page_candidate,not_verified,https://www.nurturestars.sg/,
CENTRE:NT0503,MY FIRST SKOOL,520803,https://www.myfirstskool.com/tm3-lifesg,www.myfirstskool.com,1,school_specific_candidate,not_verified,https://www.myfirstskool.com/tm3-lifesg,
CENTRE:EB0026,E-Bridge Pre-School Pte Ltd,525858,,,0,unavailable,unavailable,,
CENTRE:EB0021,E-Bridge Pre-School Pte Ltd,522875,https://info.e-bridge.edu.sg/registration-of-interest,info.e-bridge.edu.sg,23,shared_operator_page_candidate,not_verified,https://info.e-bridge.edu.sg/registration-of-interest,
CENTRE:YM0151,MY WORLD PRESCHOOL LTD.,520428,https://www.myworld.org.sg/,www.myworld.org.sg,54,shared_operator_page_candidate,not_verified,https://www.myworld.org.sg/,
CENTRE:ST0267,PCF Sparkletots Preschool @ Tampines Changkat Blk 106 (EY),521106,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:ST0263,PCF Sparkletots Preschool @ Tampines East Blk 358 (DS),520358,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:ST0260,PCF Sparkletots Preschool @ Tampines East Blk 262 (EY),520262,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:ST0258,PCF Sparkletots Preschool @ Tampines West Blk 140 (DS),520140,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:ST0172,PCF Sparkletots Preschool @ Tampines North Blk 443 (CC),520443,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:ST0145,PCF SPARKLETOTS PRESCHOOL @ TAMPINES EAST Blk 385 (CC),520385,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:ST0036,PCF Sparkletots Preschool @ Tampines Changkat Blk 273 (CC),520273,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:ST0032,PCF Sparkletots Preschool @ Tampines Changkat Blk 112 (CC),521112,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:SK0006,Skool4Kidz Preschool,521524,https://skool4kidz.com.sg/,skool4kidz.com.sg,28,shared_operator_page_candidate,not_verified,https://skool4kidz.com.sg/,
CENTRE:RC1903,Little Seeds Preschool,521159,https://www.littleseeds.edu.sg/,www.littleseeds.edu.sg,15,shared_operator_page_candidate,not_verified,https://www.littleseeds.edu.sg/,
CENTRE:PT9522,THE LITTLE SKOOL-HOUSE INTERNATIONAL PTE LTD,529541,https://www.littleskoolhouse.com/,www.littleskoolhouse.com,15,shared_operator_page_candidate,not_verified,https://www.littleskoolhouse.com/ | https://www.littleskoolhouse.com/our-centres/at-ocbc-tampines,
CENTRE:PT9463,STAR LEARNERS @ TAMPINES EAST PTE LTD,520297,https://starlearners.com.sg/our-centres/tampines-east,starlearners.com.sg,1,school_specific_candidate,not_verified,https://starlearners.com.sg/our-centres/tampines-east,
