"case_id","evidence_scope","school_id","school_name","url","automated_status","identity_confidence","matched_identifiers","failure_code","automated_notes","include_in_audit","human_expected_identity","human_expected_status","reviewer_notes"
"identity-school-centre-pt9148","school","CENTRE:PT9148","STAR LEARNERS @ WOODLANDS CIRCLE PTE. LTD.","https://starlearners.com.sg/our-centres/woodlands-circle","approved","high","postal_code | school_name | address | operator_domain","","Strong school identity match","yes","school","approved","Postal code and branch address match"
"identity-school-centre-pt9116","school","CENTRE:PT9116","STAR LEARNERS @ WOODLANDS PTE LTD","https://starlearners.com.sg/our-centres/woodlands-11","approved","high","postal_code | school_name | address | operator_domain","","Strong school identity match","yes","school","approved","Postal code and branch address match"
"identity-school-centre-pt3460","school","CENTRE:PT3460","Sunshine Kids Preschool @Woodlands Pte Ltd","https://sunshinekids.com.sg/","rejected","low","","","Insufficient school-specific identity evidence","yes","operator","approved_operator","Official company page shared across multiple branches; not specific to this school"
"identity-school-centre-nt0578","school","CENTRE:NT0578","MY FIRST SKOOL","https://www.myfirstskool.com/wdc08-lifesg","fetch_failed","unknown","","robots_disallowed","Site policy disallows fetching https://www.myfirstskool.com/wdc08-lifesg","yes","school","approved","Postal code and branch address match"
"identity-school-centre-nt0559","school","CENTRE:NT0559","MY FIRST SKOOL","https://www.myfirstskool.com/wd6-lifesg","fetch_failed","unknown","","robots_disallowed","Site policy disallows fetching https://www.myfirstskool.com/wd6-lifesg","yes","school","approved","Postal code and branch address match"
"identity-school-centre-nt0479","school","CENTRE:NT0479","MY FIRST SKOOL","https://www.myfirstskool.com/wd4-lifesg","fetch_failed","unknown","","robots_disallowed","Site policy disallows fetching https://www.myfirstskool.com/wd4-lifesg","yes","school","approved","Postal code and branch address match"
"identity-school-centre-nt0471","school","CENTRE:NT0471","MY FIRST SKOOL","https://www.myfirstskool.com/wd3-lifesg","fetch_failed","unknown","","robots_disallowed","Site policy disallows fetching https://www.myfirstskool.com/wd3-lifesg","yes","school","approved","Postal code and branch address match"
"identity-school-centre-nt0503","school","CENTRE:NT0503","MY FIRST SKOOL","https://www.myfirstskool.com/tm3-lifesg","fetch_failed","unknown","","robots_disallowed","Site policy disallows fetching https://www.myfirstskool.com/tm3-lifesg","yes","school","approved","Postal code and branch address match"
"identity-school-centre-pt9463","school","CENTRE:PT9463","STAR LEARNERS @ TAMPINES EAST PTE LTD","https://starlearners.com.sg/our-centres/tampines-east","approved","high","postal_code | school_name | address | operator_domain","","Strong school identity match","yes","school","approved","Postal code and branch address match"
"identity-school-centre-pt9189","school","CENTRE:PT9189","STAR LEARNERS @ TAMPINES PTE. LTD.","https://starlearners.com.sg/our-centres/tampines","approved","high","postal_code | school_name | address | operator_domain","","Strong school identity match","yes","school","approved","Postal code and branch address match"
"identity-school-centre-nt0489","school","CENTRE:NT0489","MY FIRST SKOOL","https://www.myfirstskool.com/tm4-lifesg","fetch_failed","unknown","","robots_disallowed","Site policy disallows fetching https://www.myfirstskool.com/tm4-lifesg","yes","school","approved","Postal code and branch address match"
"identity-school-centre-nt0280","school","CENTRE:NT0280","MY FIRST SKOOL","https://www.myfirstskool.com/tmc-lifesg","fetch_failed","unknown","","robots_disallowed","Site policy disallows fetching https://www.myfirstskool.com/tmc-lifesg","yes","school","approved","Postal code and branch address match"
"identity-school-centre-nt0574","school","CENTRE:NT0574","MY FIRST SKOOL","https://www.myfirstskool.com/wdc07-lifesg","fetch_failed","unknown","","robots_disallowed","Site policy disallows fetching https://www.myfirstskool.com/wdc07-lifesg","yes","school","approved","Postal code and branch address match"
"identity-school-centre-pt8963","school","CENTRE:PT8963","Star Learners @ Tampines West Pte. Ltd.","https://starlearners.com.sg/our-centres/tampines-west","approved","high","postal_code | school_name | address | operator_domain","","Strong school identity match","yes","school","approved","Postal code and branch address match"
"identity-school-centre-pt7900","school","CENTRE:PT7900","ELFA Preschool @ Tampines","https://elfapreschools.com/singapore/tampines","fetch_failed","unknown","","robots_disallowed","Site policy disallows fetching https://elfapreschools.com/singapore/tampines","yes","school","approved","Postal code and branch address match"
"identity-school-centre-nt0477","school","CENTRE:NT0477","MY FIRST SKOOL","https://www.myfirstskool.com/cv3-lifesg","fetch_failed","unknown","","robots_disallowed","Site policy disallows fetching https://www.myfirstskool.com/cv3-lifesg","yes","school","approved","Postal code and branch address match"
"identity-school-centre-nt0473","school","CENTRE:NT0473","MY FIRST SKOOL","https://www.myfirstskool.com/cv2-lifesg","fetch_failed","unknown","","robots_disallowed","Site policy disallows fetching https://www.myfirstskool.com/cv2-lifesg","yes","school","approved","Postal code and branch address match"
